parity,variable,value_mean,value_std,value_min,value_max,value_median,value_count,teat_missing,extreme_value_removed,cow_count
1,lb_len,31.82070963953354,6.106786091937053,17.728681724108846,46.12193635218714,31.225824922469116,46,2.0,2,50
1,lf_len,42.992750481376106,7.052694294064718,29.36748526548561,58.118316303559496,42.54877749567741,44,1.0,5,50
1,rb_len,33.393712187435796,6.601741209947785,18.17392370737068,46.777097379122935,34.25502515150771,43,1.0,6,50
1,rf_len,43.233756423232514,6.903484764420834,28.321027107087826,55.65560479268194,43.407790881475606,49,0.0,1,50
2,lb_len,36.16798824309278,6.852305408491656,18.644594887859483,51.48664336640375,35.8398124284654,31,1.0,6,38
2,lf_len,44.497964001362774,6.956433567436278,29.195666117882283,57.57631395344077,44.72523410118144,31,2.0,5,38
2,rb_len,34.73931570398039,7.16959163058815,21.2983408469041,52.02574205446184,34.65620377423647,31,2.0,5,38
2,rf_len,44.686117003720454,7.498635518892933,28.85831206829289,58.37093213746447,45.40113510862665,29,1.0,8,38
3,lb_len,39.63023459622575,8.040223284658527,21.29236259548483,52.440148250329,38.75065678252004,26,1.0,1,28
3,lf_len,44.52209108264674,7.119302412580651,30.696688926704663,59.03721710639992,45.02563711160359,22,1.0,5,28
3,rb_len,37.425012192257675,6.536997833383072,24.00914521383924,53.019572763270496,38.42132006360842,26,1.0,1,28
3,rf_len,43.0209975180265,8.049821010853314,26.78031813119896,54.34147074812125,44.37094685948381,24,0.0,4,28
4,lb_len,36.983640631347896,6.420752772588401,24.849285393773325,45.34517713825906,37.86215491334518,13,0.0,1,14
4,lf_len,44.33416866646824,5.358480107977999,39.54599066012607,55.53393088974154,42.40862406819539,11,0.0,3,14
4,rb_len,40.51205183917671,7.313707199363924,25.323067459001624,50.47820297744517,41.715757371730035,12,0.0,2,14
4,rf_len,41.86325891944744,8.774123460359874,26.314124510576637,51.90904688455142,42.78900776235057,11,1.0,2,14
5,lb_len,41.63577253161896,7.409590685154502,32.71643131669937,51.872414640929485,39.64986134015146,6,0.0,1,7
5,lf_len,42.76818496079562,9.890075864612172,28.89559658097081,52.17495919187128,45.00109203517019,4,1.0,2,7
5,rb_len,43.58213647226165,5.365157236506474,37.34396331886726,49.51513503422193,44.120169021224,6,0.0,1,7
5,rf_len,47.20596679527233,10.628114493776621,28.68892424232809,60.75767733413044,49.34512660706869,6,0.0,1,7
6,lb_len,42.07860192883262,,42.07860192883262,42.07860192883262,42.07860192883262,1,0.0,0,1
6,lf_len,37.9912880217919,,37.9912880217919,37.9912880217919,37.9912880217919,1,0.0,0,1
6,rb_len,36.35894193696292,,36.35894193696292,36.35894193696292,36.35894193696292,1,0.0,0,1
6,rf_len,41.33752857926118,,41.33752857926118,41.33752857926118,41.33752857926118,1,0.0,0,1
