                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.69789,                0.56452,                      1,                0.68628,              7.854e-05,              7.854e-05,              7.854e-05
                      2,                0.67222,                0.64516,                      1,                0.68091,             0.00016259,             0.00016259,             0.00016259
                      3,                 0.5852,                0.53226,                      1,                0.68823,             0.00024495,             0.00024495,             0.00024495
                      4,                0.47925,                 0.6129,                      1,                0.68604,             0.00032561,             0.00032561,             0.00032561
                      5,                  0.354,                0.54839,                      1,                0.69678,             0.00040458,             0.00040458,             0.00040458
                      6,                0.24376,                0.46774,                      1,                0.70679,             0.00048185,             0.00048185,             0.00048185
                      7,                0.09242,                0.51613,                      1,                0.71045,             0.00055742,             0.00055742,             0.00055742
                      8,                0.03896,                0.46774,                      1,                0.75977,             0.00063129,             0.00063129,             0.00063129
                      9,                0.02153,                0.45161,                      1,                0.74829,             0.00065745,             0.00065745,             0.00065745
                     10,                0.00797,                0.58065,                      1,                0.71216,             0.00065745,             0.00065745,             0.00065745
                     11,                0.00651,                0.59677,                      1,                0.70312,             0.00065038,             0.00065038,             0.00065038
                     12,                0.00314,                0.45161,                      1,                0.76343,             0.00064331,             0.00064331,             0.00064331
                     13,                 0.0065,                0.53226,                      1,                0.74487,             0.00063625,             0.00063625,             0.00063625
                     14,                0.02717,                0.46774,                      1,                0.78687,             0.00062918,             0.00062918,             0.00062918
                     15,                0.01748,                0.43548,                      1,                0.85083,             0.00062211,             0.00062211,             0.00062211
                     16,                 0.0359,                0.41935,                      1,                0.85693,             0.00061504,             0.00061504,             0.00061504
                     17,                 0.0157,                0.51613,                      1,                0.77197,             0.00060797,             0.00060797,             0.00060797
                     18,                0.00204,                0.53226,                      1,                0.73706,              0.0006009,              0.0006009,              0.0006009
                     19,                0.00975,                0.43548,                      1,                 0.7937,             0.00059383,             0.00059383,             0.00059383
                     20,                0.18859,                0.58065,                      1,                0.70264,             0.00058677,             0.00058677,             0.00058677
                     21,                0.05201,                0.37097,                      1,                 0.8645,              0.0005797,              0.0005797,              0.0005797
                     22,                0.01039,                0.45161,                      1,                0.80811,             0.00057263,             0.00057263,             0.00057263
                     23,                 0.0131,                 0.6129,                      1,                0.69922,             0.00056556,             0.00056556,             0.00056556
                     24,                0.04857,                 0.3871,                      1,                0.81665,             0.00055849,             0.00055849,             0.00055849
                     25,                0.02375,                0.40323,                      1,                 0.8396,             0.00055142,             0.00055142,             0.00055142
                     26,                0.00172,                    0.5,                      1,                0.75439,             0.00054435,             0.00054435,             0.00054435
                     27,                 0.0102,                0.56452,                      1,                0.71094,             0.00053728,             0.00053728,             0.00053728
                     28,                0.00303,                0.58065,                      1,                0.71753,             0.00053022,             0.00053022,             0.00053022
                     29,                 0.0102,                0.58065,                      1,                0.71411,             0.00052315,             0.00052315,             0.00052315
                     30,                0.01193,                0.53226,                      1,                0.71802,             0.00051608,             0.00051608,             0.00051608
                     31,                0.01449,                0.54839,                      1,                0.72144,             0.00050901,             0.00050901,             0.00050901
                     32,                0.00512,                0.46774,                      1,                0.76221,             0.00050194,             0.00050194,             0.00050194
                     33,                0.00063,                0.51613,                      1,                0.76611,             0.00049487,             0.00049487,             0.00049487
                     34,                0.00209,                0.48387,                      1,                0.77051,              0.0004878,              0.0004878,              0.0004878
                     35,                0.00427,                0.48387,                      1,                0.77734,             0.00048074,             0.00048074,             0.00048074
                     36,                0.00848,                0.51613,                      1,                0.74731,             0.00047367,             0.00047367,             0.00047367
                     37,                0.00357,                0.43548,                      1,                0.79736,              0.0004666,              0.0004666,              0.0004666
                     38,                 0.0008,                0.41935,                      1,                0.80908,             0.00045953,             0.00045953,             0.00045953
                     39,                0.00147,                 0.3871,                      1,                0.79492,             0.00045246,             0.00045246,             0.00045246
                     40,                0.00052,                0.41935,                      1,                0.79785,             0.00044539,             0.00044539,             0.00044539
                     41,                0.00203,                0.48387,                      1,                0.76123,             0.00043832,             0.00043832,             0.00043832
                     42,                 0.0036,                0.53226,                      1,                0.72119,             0.00043126,             0.00043126,             0.00043126
                     43,                0.00618,                0.51613,                      1,                0.73657,             0.00042419,             0.00042419,             0.00042419
                     44,                0.00195,                0.43548,                      1,                0.80786,             0.00041712,             0.00041712,             0.00041712
                     45,                0.00128,                0.37097,                      1,                0.84253,             0.00041005,             0.00041005,             0.00041005
                     46,                0.09817,                0.40323,                      1,                0.81567,             0.00040298,             0.00040298,             0.00040298
                     47,                0.04901,                 0.3871,                      1,                0.85693,             0.00039591,             0.00039591,             0.00039591
                     48,                0.00028,                0.40323,                      1,                0.84839,             0.00038884,             0.00038884,             0.00038884
                     49,                0.00406,                0.40323,                      1,                0.83423,             0.00038178,             0.00038178,             0.00038178
                     50,                0.02288,                0.54839,                      1,                0.76343,             0.00037471,             0.00037471,             0.00037471
                     51,                0.00053,                0.58065,                      1,                0.71362,             0.00036764,             0.00036764,             0.00036764
                     52,                0.00672,                0.59677,                      1,                 0.7085,             0.00036057,             0.00036057,             0.00036057
